Name,Rating,Genre,Release Date,Runtime,Url
"Curious George: Go West, Go Wild",62,"Animation,Family,TV Movie",09/08/2020,1h 25m,https://www.themoviedb.org/movie/743904
Spy Kids 3-D: Game Over,51,"Action,Adventure,Comedy,Family,Science Fiction",07/25/2003,1h 24m,https://www.themoviedb.org/movie/12279
Armageddon,68,"Action,Thriller,Science Fiction,Adventure",07/01/1998,2h 31m,https://www.themoviedb.org/movie/95
Boiling Point,73,"Thriller,Drama",01/19/2022,1h 32m,https://www.themoviedb.org/movie/807196
Teenage Mutant Ninja Turtles: Out of the Shadows,60,"Action,Adventure,Comedy,Family,Science Fiction",06/03/2016,1h 52m,https://www.themoviedb.org/movie/308531
Baywatch,61,"Comedy,Action,Crime",05/26/2017,1h 56m,https://www.themoviedb.org/movie/339846
Spider-Man 2,72,"Action,Adventure,Fantasy",07/23/2004,2h 7m,https://www.themoviedb.org/movie/558
Friends: The Reunion,81,Documentary,05/27/2021,1h 44m,https://www.themoviedb.org/movie/691179
The Jungle Book,69,"Family,Adventure,Drama,Fantasy",04/08/2016,1h 46m,https://www.themoviedb.org/movie/278927
HK: Hentai Kamen 2 - Abnormal Crisis,65,"Action,Comedy",05/14/2016,1h 58m,https://www.themoviedb.org/movie/403310
Bedtime Stories,61,"Fantasy,Comedy,Family,Romance",12/25/2008,1h 39m,https://www.themoviedb.org/movie/10202
The Hand of God,77,Drama,12/02/2021,2h 10m,https://www.themoviedb.org/movie/722778
P2,62,"Horror,Thriller",11/09/2007,1h 38m,https://www.themoviedb.org/movie/13474
The Legend of Tarzan,59,"Fantasy,Action,Adventure",07/01/2016,1h 49m,https://www.themoviedb.org/movie/258489
Barbie Fairytopia: Mermaidia,68,"Animation,Family,Adventure,Fantasy",03/14/2006,1h 15m,https://www.themoviedb.org/movie/13285
Catalina la Catrina: especial Día de Muertos,48,"Family,Animation",10/01/2021,0,https://www.themoviedb.org/movie/880009
"Paul, Apostle of Christ",74,"Drama,History",03/28/2018,1h 48m,https://www.themoviedb.org/movie/476968
Skyscraper,63,"Action,Thriller",07/13/2018,1h 42m,https://www.themoviedb.org/movie/447200
Sputnik,65,"Science Fiction,Drama,Horror",11/04/2020,1h 53m,https://www.themoviedb.org/movie/594718
Monster House,66,"Animation,Comedy,Family,Fantasy",07/21/2006,1h 31m,https://www.themoviedb.org/movie/9297
Ghostbusters,54,"Action,Fantasy,Comedy",07/15/2016,1h 57m,https://www.themoviedb.org/movie/43074
Photocopier,71,"Drama,Mystery,Thriller",01/13/2022,2h 10m,https://www.themoviedb.org/movie/858815
Mamma Mia!,70,"Comedy,Romance",07/18/2008,1h 48m,https://www.themoviedb.org/movie/11631
Meet the Robinsons,69,"Animation,Comedy,Family",03/28/2007,1h 35m,https://www.themoviedb.org/movie/1267
Undisputed,65,"Action,Adventure,Drama,Thriller",08/23/2002,1h 36m,https://www.themoviedb.org/movie/15070
Happy Feet,61,"Animation,Comedy,Family",12/26/2006,1h 48m,https://www.themoviedb.org/movie/9836
"Happy Halloween, Scooby-Doo!",80,"Family,Animation,Mystery,Comedy",10/06/2020,1h 16m,https://www.themoviedb.org/movie/721656
Containment,59,"Thriller,Horror,Science Fiction",07/09/2015,1h 17m,https://www.themoviedb.org/movie/347548
Akira,80,"Animation,Science Fiction,Action",07/16/1988,2h 4m,https://www.themoviedb.org/movie/149
Pokémon the Movie: The Power of Us,70,"Animation,Family,Adventure,Fantasy",07/13/2018,1h 40m,https://www.themoviedb.org/movie/494407
Perfume: The Story of a Murderer,73,"Crime,Fantasy,Drama",01/05/2007,2h 27m,https://www.themoviedb.org/movie/1427
Scoob!,72,"Animation,Family,Comedy,Adventure",07/09/2020,1h 34m,https://www.themoviedb.org/movie/385103
Léon: The Professional,83,"Crime,Drama,Action",09/23/1996,1h 51m,https://www.themoviedb.org/movie/101
Den of Thieves,67,"Action,Thriller,Crime",01/19/2018,2h 20m,https://www.themoviedb.org/movie/449443
Troy,71,"Adventure,History,War",06/25/2004,2h 43m,https://www.themoviedb.org/movie/652
Pokémon the Movie: Hoopa and the Clash of Ages,67,"Family,Adventure,Animation,Action,Fantasy",07/18/2015,1h 13m,https://www.themoviedb.org/movie/350499
Naruto to Boruto: The Live 2019,66,Documentary,05/05/2019,2h 54m,https://www.themoviedb.org/movie/638566
Dragon Ball: Yo! Son Goku and His Friends Return!!,63,"Animation,Action,Adventure,Science Fiction",09/21/2008,35m,https://www.themoviedb.org/movie/38594
Anastasia,76,"Animation,Family",11/21/1997,1h 34m,https://www.themoviedb.org/movie/9444
Scott Pilgrim vs. the World,74,"Action,Comedy,Fantasy,Romance",08/13/2010,1h 52m,https://www.themoviedb.org/movie/22538
Pearl Harbor,69,"Action,War,History,Romance,Drama",05/21/2001,3h 3m,https://www.themoviedb.org/movie/676
The Perks of Being a Wallflower,78,Drama,09/20/2012,1h 43m,https://www.themoviedb.org/movie/84892
The Blind Side,77,Drama,11/20/2009,2h 9m,https://www.themoviedb.org/movie/22881
The Ogglies: Welcome to Smelliville,73,"Animation,Drama,Adventure,Family",01/01/2021,1h 25m,https://www.themoviedb.org/movie/805051
Rambo III,61,"Action,Adventure,Thriller,War",05/24/1988,1h 42m,https://www.themoviedb.org/movie/1370
Extraction,74,"Drama,Action,Thriller",04/24/2020,1h 56m,https://www.themoviedb.org/movie/545609
Porno Emperor,13,Drama,05/02/1971,0,https://www.themoviedb.org/movie/899338
The Protector,71,"Action,Crime,Drama,Thriller",08/11/2005,1h 51m,https://www.themoviedb.org/movie/8982
10 Things I Hate About You,76,"Comedy,Romance,Drama",03/31/1999,1h 37m,https://www.themoviedb.org/movie/4951
(500) Days of Summer,73,"Comedy,Drama,Romance",08/07/2009,1h 35m,https://www.themoviedb.org/movie/19913
Aliens vs Predator: Requiem,51,"Fantasy,Action,Science Fiction,Thriller,Horror",12/25/2007,1h 34m,https://www.themoviedb.org/movie/440
Sharkdog’s Fintastic Halloween,40,"Animation,Fantasy,Family",10/15/2021,24m,https://www.themoviedb.org/movie/878962
The Terminator,76,"Action,Thriller,Science Fiction",10/26/1984,1h 48m,https://www.themoviedb.org/movie/218
Gone Girl,79,"Mystery,Thriller,Drama",10/31/2014,2h 29m,https://www.themoviedb.org/movie/210577
Soul Surfer,71,"Family,Drama",04/08/2011,1h 52m,https://www.themoviedb.org/movie/43959
Willy Wonka & the Chocolate Factory,75,"Family,Fantasy,Comedy",06/30/1971,1h 40m,https://www.themoviedb.org/movie/252
Predator 2,62,"Science Fiction,Action,Thriller",11/20/1990,1h 48m,https://www.themoviedb.org/movie/169
Young and Wild,63,"Comedy,Drama",03/29/2012,1h 32m,https://www.themoviedb.org/movie/84354
Minions: The Rise of Gru,NR,"Family,Animation,Action,Adventure,Comedy",07/01/2022,1h 30m,https://www.themoviedb.org/movie/438148
First Blood,74,"Action,Adventure,Thriller,War",12/18/1982,1h 33m,https://www.themoviedb.org/movie/1368
Barbie as Rapunzel,70,"Animation,Family",10/01/2002,1h 24m,https://www.themoviedb.org/movie/15015
Night at the Museum: Secret of the Tomb,62,"Adventure,Comedy,Fantasy,Family",12/19/2014,1h 38m,https://www.themoviedb.org/movie/181533
Focus,69,"Romance,Comedy,Crime,Drama",02/27/2015,1h 45m,https://www.themoviedb.org/movie/256591
RED 2,65,"Action,Comedy,Crime,Thriller",07/18/2013,1h 56m,https://www.themoviedb.org/movie/146216
Boss Level,69,"Action,Science Fiction,Thriller",02/19/2021,1h 34m,https://www.themoviedb.org/movie/513310
Clean Sex,76,Comedy,07/19/2015,13m,https://www.themoviedb.org/movie/350640
Mulan II,65,"Animation,Comedy,Family,Action",11/13/2004,1h 19m,https://www.themoviedb.org/movie/12242
Trolls,67,"Family,Animation,Fantasy,Adventure,Comedy,Music",11/04/2016,1h 32m,https://www.themoviedb.org/movie/136799
To All the Boys: Always and Forever,77,"Romance,Comedy,Drama",02/12/2021,1h 55m,https://www.themoviedb.org/movie/614409
Barbie in the Nutcracker,68,"Animation,Family",10/01/2001,1h 16m,https://www.themoviedb.org/movie/15167
Hotel Desire,59,"Drama,Romance",12/07/2011,38m,https://www.themoviedb.org/movie/82023
A Walk to Remember,77,"Drama,Romance",01/25/2002,1h 41m,https://www.themoviedb.org/movie/10229
What Men Want,62,"Comedy,Romance",02/08/2019,1h 57m,https://www.themoviedb.org/movie/487297
The Last Survivors,63,"Horror,Thriller,Action",06/12/2014,1h 35m,https://www.themoviedb.org/movie/270771
War of Likes,78,Comedy,03/12/2021,1h 43m,https://www.themoviedb.org/movie/709629
Hellboy,55,"Fantasy,Action,Adventure,Science Fiction",04/12/2019,2h 1m,https://www.themoviedb.org/movie/456740
Sounds Like Love,66,"Comedy,Romance",09/29/2021,1h 50m,https://www.themoviedb.org/movie/776909
10.0 Earthquake,49,"Drama,Adventure,Action",10/15/2014,1h 28m,https://www.themoviedb.org/movie/302666
The Doorman,59,"Action,Thriller",10/01/2020,1h 37m,https://www.themoviedb.org/movie/737568
6 Underground,63,"Action,Thriller,Comedy",12/13/2019,2h 8m,https://www.themoviedb.org/movie/509967
Cloudy with a Chance of Meatballs,66,"Animation,Comedy,Family",09/18/2009,1h 30m,https://www.themoviedb.org/movie/22794
American Pie Presents: Girls' Rules,64,Comedy,10/14/2020,1h 35m,https://www.themoviedb.org/movie/660982
Barbie: A Fashion Fairytale,72,"Family,Animation",09/14/2010,1h 19m,https://www.themoviedb.org/movie/44874
Saw IV,62,"Horror,Thriller,Crime",10/25/2007,1h 36m,https://www.themoviedb.org/movie/663
101 Dalmatians II: Patch's London Adventure,60,"Family,Adventure,Comedy,Animation",11/06/2002,1h 14m,https://www.themoviedb.org/movie/13654
Maya the Bee: The Golden Orb,66,"Adventure,Animation,Family",01/28/2021,1h 28m,https://www.themoviedb.org/movie/681260
The Anthem of the Heart,76,"Animation,Drama,Music,Romance",09/19/2015,1h 59m,https://www.themoviedb.org/movie/364111
Kill Bill: Vol. 1,80,"Action,Crime",10/10/2003,1h 51m,https://www.themoviedb.org/movie/24
Chunin Exam on Fire! and Naruto vs. Konohamaru!,77,"Animation,Action",07/30/2011,14m,https://www.themoviedb.org/movie/189349
Avengers Confidential: Black Widow & Punisher,64,"Animation,Science Fiction,Action",03/25/2014,1h 23m,https://www.themoviedb.org/movie/257346
Once Upon a Time… in Hollywood,74,"Comedy,Drama,Thriller",07/26/2019,2h 42m,https://www.themoviedb.org/movie/466272
Scary Movie 4,55,Comedy,04/14/2006,1h 23m,https://www.themoviedb.org/movie/4257
Scream 3,59,"Horror,Mystery",02/03/2000,1h 56m,https://www.themoviedb.org/movie/4234
Nothing to Lose,54,"Drama,History",03/29/2018,2h 10m,https://www.themoviedb.org/movie/502581
Knives Out,79,"Comedy,Crime,Mystery",11/27/2019,2h 11m,https://www.themoviedb.org/movie/546554
Deep,64,"Science Fiction,Thriller",07/16/2021,1h 41m,https://www.themoviedb.org/movie/842171
Dead Silence,64,Horror,03/16/2007,1h 29m,https://www.themoviedb.org/movie/14001
The Last Witch Hunter,59,"Fantasy,Action,Adventure,Science Fiction",10/23/2015,1h 46m,https://www.themoviedb.org/movie/274854
Tinker Bell and the Pirate Fairy,68,"Animation,Family",02/13/2014,1h 18m,https://www.themoviedb.org/movie/175112
Friday the 13th,64,Horror,05/09/1980,1h 35m,https://www.themoviedb.org/movie/4488
Dragonball Evolution,28,"Action,Adventure,Fantasy,Science Fiction,Thriller",04/08/2009,1h 25m,https://www.themoviedb.org/movie/14164
Turbo: A Power Rangers Movie,57,"Action,Adventure,Family,Fantasy,Science Fiction,Thriller",03/27/1997,1h 39m,https://www.themoviedb.org/movie/6499
Barbie of Swan Lake,70,"Animation,Family",09/29/2003,1h 21m,https://www.themoviedb.org/movie/15016
Alvin and the Chipmunks,58,"Comedy,Family,Fantasy,Animation",12/16/2007,1h 32m,https://www.themoviedb.org/movie/6477
Stillwater,69,"Drama,Crime,Thriller",07/30/2021,2h 19m,https://www.themoviedb.org/movie/616651
Machete,63,"Action,Comedy,Thriller",09/03/2010,1h 45m,https://www.themoviedb.org/movie/23631
Rogue One: A Star Wars Story,75,"Action,Adventure,Science Fiction",12/16/2016,2h 13m,https://www.themoviedb.org/movie/330459
Cyrano,63,"Drama,Romance",02/25/2022,2h 4m,https://www.themoviedb.org/movie/730047
Finding 'Ohana,65,"Action,Adventure,Comedy,Family",01/29/2021,2h 3m,https://www.themoviedb.org/movie/644092
Pleasure,62,Drama,10/08/2021,1h 48m,https://www.themoviedb.org/movie/592695
Pandemic,50,"Action,Science Fiction,Horror",04/01/2016,1h 31m,https://www.themoviedb.org/movie/346651
The Fault in Our Stars,76,"Romance,Drama",05/16/2014,2h 6m,https://www.themoviedb.org/movie/222935
Guardians,49,"Action,Fantasy,Science Fiction",02/24/2017,1h 40m,https://www.themoviedb.org/movie/354556
The Lovely Bones,70,"Fantasy,Drama",01/15/2010,2h 16m,https://www.themoviedb.org/movie/7980
Whiplash,84,"Drama,Music",10/10/2014,1h 47m,https://www.themoviedb.org/movie/244786
Seed of Chucky,54,"Horror,Comedy",11/11/2004,1h 27m,https://www.themoviedb.org/movie/11249
Jaws,76,"Horror,Thriller,Adventure",05/14/1980,2h 4m,https://www.themoviedb.org/movie/578
12 Hour Shift,54,"Thriller,Horror,Comedy,Crime",10/02/2020,1h 28m,https://www.themoviedb.org/movie/667141
The Ten Commandments: The Movie,73,Drama,01/28/2016,2h,https://www.themoviedb.org/movie/372519
Bright: Samurai Soul,59,"Animation,Action,Fantasy",10/12/2021,1h 20m,https://www.themoviedb.org/movie/839100
Into the White,69,"War,Action,Drama",03/09/2012,1h 44m,https://www.themoviedb.org/movie/78215
Muppets Haunted Mansion,67,"Comedy,Family,TV Movie",10/08/2021,52m,https://www.themoviedb.org/movie/826914
Glass,67,"Thriller,Drama,Science Fiction",01/18/2019,2h 9m,https://www.themoviedb.org/movie/450465
The Tourist,62,"Action,Thriller,Romance",12/10/2010,1h 43m,https://www.themoviedb.org/movie/37710
Year One,49,"Comedy,Adventure",06/19/2009,1h 37m,https://www.themoviedb.org/movie/17610
A Dog Named Palma,84,"Family,Romance",03/18/2021,1h 50m,https://www.themoviedb.org/movie/583833
The 5th Wave,59,"Science Fiction,Adventure,Action",01/15/2016,1h 52m,https://www.themoviedb.org/movie/299687
Men in Black: International,60,"Comedy,Science Fiction",06/14/2019,1h 55m,https://www.themoviedb.org/movie/479455
Back to the Future,83,"Adventure,Comedy,Science Fiction,Family",07/03/1985,1h 56m,https://www.themoviedb.org/movie/105
Bridge to Terabithia,73,"Adventure,Drama,Family",02/16/2007,1h 36m,https://www.themoviedb.org/movie/1265
The Rental,56,Horror,07/24/2020,1h 28m,https://www.themoviedb.org/movie/587496
Source Code,73,"Thriller,Science Fiction,Mystery",05/01/2011,1h 34m,https://www.themoviedb.org/movie/45612
The Guilty,64,"Drama,Thriller",09/24/2021,1h 31m,https://www.themoviedb.org/movie/567748
Artemis Fowl,57,"Adventure,Fantasy,Science Fiction,Family,Action",06/12/2020,1h 34m,https://www.themoviedb.org/movie/475430
The Hating Game,76,"Comedy,Romance",12/09/2021,1h 42m,https://www.themoviedb.org/movie/603661
Little Women,79,"Drama,Romance",12/25/2019,2h 15m,https://www.themoviedb.org/movie/331482
Dune,62,"Action,Science Fiction,Adventure",12/14/1984,2h 17m,https://www.themoviedb.org/movie/841
365 Days,70,"Drama,Romance",02/07/2020,1h 56m,https://www.themoviedb.org/movie/664413
Women's Prison Massacre,43,"Action,Drama",01/01/1985,1h 29m,https://www.themoviedb.org/movie/45233
Mission: Impossible - Rogue Nation,72,"Action,Adventure",08/07/2015,2h 11m,https://www.themoviedb.org/movie/177677
No Good Deed,60,"Crime,Thriller",09/12/2014,1h 23m,https://www.themoviedb.org/movie/136835
Ghost in the Shell,60,"Science Fiction,Action",04/07/2017,1h 47m,https://www.themoviedb.org/movie/315837
Belle,84,"Animation,Drama,Science Fiction,Music",07/16/2021,2h 2m,https://www.themoviedb.org/movie/776305
I Am All Girls,67,"Crime,Drama,Mystery,Thriller",05/14/2021,1h 47m,https://www.themoviedb.org/movie/823855
The Rugrats Movie,62,"Family,Animation,Comedy,Adventure",11/20/1998,1h 19m,https://www.themoviedb.org/movie/14444
Dragons: Dawn Of The Dragon Racers,72,"Animation,Family,Adventure,Comedy,Fantasy",05/26/2015,26m,https://www.themoviedb.org/movie/298115
"The Good, the Bad and the Ugly",85,Western,04/15/1969,2h 41m,https://www.themoviedb.org/movie/429
Xtreme,66,"Action,Adventure,Crime",06/04/2021,1h 51m,https://www.themoviedb.org/movie/726429
Justice League: The Flashpoint Paradox,79,"Science Fiction,Animation,Action,Adventure",07/30/2013,1h 15m,https://www.themoviedb.org/movie/183011
The Wolf and the Lion,72,"Adventure,Family",10/13/2021,1h 39m,https://www.themoviedb.org/movie/780382
Ready or Not,71,"Comedy,Horror,Thriller",08/21/2019,1h 35m,https://www.themoviedb.org/movie/567609
Nymphomaniac: Vol. II,68,"Drama,Mystery",12/25/2013,2h 4m,https://www.themoviedb.org/movie/249397
Greta,66,"Mystery,Thriller,Horror",04/19/2019,1h 38m,https://www.themoviedb.org/movie/471506
Sex and the City 2,61,"Comedy,Drama,Romance",05/27/2010,2h 26m,https://www.themoviedb.org/movie/37786
Stuart Little,60,"Family,Animation,Fantasy,Comedy",12/17/1999,1h 24m,https://www.themoviedb.org/movie/10137
Solo: A Star Wars Story,66,"Science Fiction,Adventure,Action",05/25/2018,2h 15m,https://www.themoviedb.org/movie/348350
Wotakoi: Love is Hard for Otaku,72,"Comedy,Romance",02/07/2020,1h 54m,https://www.themoviedb.org/movie/552687
The Pursuit of Happyness,79,Drama,12/14/2006,1h 57m,https://www.themoviedb.org/movie/1402
Kizumonogatari Part 3: Reiketsu,81,"Animation,Fantasy,Mystery",01/06/2017,1h 23m,https://www.themoviedb.org/movie/362585
Gods of Egypt,56,"Action,Adventure,Fantasy",02/25/2016,2h 7m,https://www.themoviedb.org/movie/205584
The Wizard of Oz,76,"Adventure,Fantasy,Family",08/25/1939,1h 42m,https://www.themoviedb.org/movie/630
Star Wars: Episode III - Revenge of the Sith,74,"Science Fiction,Adventure,Action",05/20/2005,2h 20m,https://www.themoviedb.org/movie/1895
Drag Me to Hell,63,"Horror,Thriller",03/15/2009,1h 39m,https://www.themoviedb.org/movie/16871
Spell,64,"Thriller,Horror",06/22/2021,1h 31m,https://www.themoviedb.org/movie/621151
Sinister,68,"Horror,Thriller,Mystery",10/12/2012,1h 50m,https://www.themoviedb.org/movie/82507
Parker,60,"Action,Crime",01/25/2013,1h 58m,https://www.themoviedb.org/movie/119283
The Invasion,60,"Science Fiction,Thriller,Mystery",08/17/2007,1h 39m,https://www.themoviedb.org/movie/4858
The Burning Sea,70,"Action,Drama,Thriller",10/29/2021,1h 44m,https://www.themoviedb.org/movie/623511
One Piece 3D: Straw Hat Chase,67,Animation,03/19/2011,30m,https://www.themoviedb.org/movie/79082
Fireproof,74,"Drama,Romance",09/26/2008,2h 2m,https://www.themoviedb.org/movie/14438
Friends with Benefits,67,"Romance,Comedy",07/21/2011,1h 49m,https://www.themoviedb.org/movie/50544
Igor,59,"Animation,Comedy,Family,Fantasy",09/19/2008,1h 27m,https://www.themoviedb.org/movie/14248
Whisper of the Heart,79,"Animation,Drama,Family",07/15/1995,1h 51m,https://www.themoviedb.org/movie/37797
Tooth Fairy,55,"Comedy,Family,Fantasy",01/22/2010,1h 41m,https://www.themoviedb.org/movie/23023
Dragon Ball Z: The History of Trunks,76,"Animation,Action,Science Fiction",02/24/1993,48m,https://www.themoviedb.org/movie/39324
Contraband,63,"Thriller,Action,Drama,Crime",03/16/2012,1h 49m,https://www.themoviedb.org/movie/77866
Training Day,74,"Action,Crime,Drama,Thriller",10/05/2001,2h 2m,https://www.themoviedb.org/movie/2034
The Worst Person in the World,77,"Comedy,Drama,Romance",10/15/2021,2h 8m,https://www.themoviedb.org/movie/660120
Easy A,68,Comedy,09/17/2010,1h 33m,https://www.themoviedb.org/movie/37735
Fantasia,74,"Animation,Family",06/20/1941,2h 4m,https://www.themoviedb.org/movie/756
Benedetta,68,"Drama,History,Romance",10/14/2021,2h 11m,https://www.themoviedb.org/movie/454527
Leatherface,55,"Horror,Thriller,Mystery",09/14/2017,1h 28m,https://www.themoviedb.org/movie/300665
3-D Sex and Zen: Extreme Ecstasy,47,"Drama,Adventure,Romance",04/14/2011,1h 58m,https://www.themoviedb.org/movie/67308
Justice League Dark: Apokolips War,84,"Animation,Action,Adventure,Fantasy,Science Fiction",05/05/2020,1h 30m,https://www.themoviedb.org/movie/618344
The Hunchback of Notre Dame,71,"Drama,Animation,Family",06/21/1996,1h 31m,https://www.themoviedb.org/movie/10545
Flipped,79,"Romance,Drama",09/10/2010,1h 29m,https://www.themoviedb.org/movie/43949
Paranormal Activity: Tokyo Night,61,"Horror,Thriller",11/20/2010,1h 31m,https://www.themoviedb.org/movie/59429
The Lone Ranger,61,"Action,Adventure,Western",07/03/2013,2h 29m,https://www.themoviedb.org/movie/57201
Paranormal Activity: The Marked Ones,54,"Horror,Thriller",01/03/2014,1h 24m,https://www.themoviedb.org/movie/227348
Jack the Giant Slayer,58,"Fantasy,Action,Adventure,Family",03/01/2013,1h 54m,https://www.themoviedb.org/movie/81005
Battleship,58,"Thriller,Action,Adventure,Science Fiction",04/13/2012,2h 11m,https://www.themoviedb.org/movie/44833
The Osiris Child,54,Science Fiction,02/17/2016,1h 35m,https://www.themoviedb.org/movie/354282
Woody Woodpecker,67,"Comedy,Family,Animation",10/05/2017,1h 31m,https://www.themoviedb.org/movie/462883
Barbie Mariposa,67,"Animation,Fantasy,Family",02/26/2008,1h 15m,https://www.themoviedb.org/movie/18198
Where the Wild Things Are,65,"Family,Fantasy,Science Fiction,Drama",10/16/2009,1h 41m,https://www.themoviedb.org/movie/16523
The Monkey King,57,"Action,Adventure,Family",01/25/2014,1h 59m,https://www.themoviedb.org/movie/119892
From Paris with Love,62,"Action,Crime,Thriller",02/05/2010,1h 32m,https://www.themoviedb.org/movie/26389
Batman: Soul of the Dragon,70,"Animation,Action,Adventure,Crime,Fantasy",01/12/2021,1h 23m,https://www.themoviedb.org/movie/732450
Top Gun: Maverick,NR,"Action,Drama",05/27/2022,0,https://www.themoviedb.org/movie/361743
Dora and the Lost City of Gold,68,"Adventure,Comedy,Family",09/19/2019,1h 42m,https://www.themoviedb.org/movie/499701
The Sword in the Stone,72,"Animation,Family",12/25/1963,1h 19m,https://www.themoviedb.org/movie/9078
Saw 3D,60,"Horror,Crime",10/29/2010,1h 30m,https://www.themoviedb.org/movie/41439
Taxi,55,"Action,Comedy,Thriller,Crime",10/06/2004,1h 37m,https://www.themoviedb.org/movie/11045
Mermaid Down,67,"Horror,Fantasy,Mystery,Thriller",10/15/2019,1h 31m,https://www.themoviedb.org/movie/504631
The Angry Birds Movie,62,"Animation,Adventure,Comedy",05/27/2016,1h 37m,https://www.themoviedb.org/movie/153518
Justice League: Doom,75,"Action,Animation,Science Fiction",02/28/2012,1h 17m,https://www.themoviedb.org/movie/76589
Independence Daysaster,45,"Action,Science Fiction",06/27/2013,1h 26m,https://www.themoviedb.org/movie/205126
Star Trek Into Darkness,73,"Action,Adventure,Science Fiction",05/16/2013,2h 12m,https://www.themoviedb.org/movie/54138
Spies in Disguise,77,"Animation,Action,Adventure,Comedy,Family",12/27/2019,1h 42m,https://www.themoviedb.org/movie/431693
Tú eres mi problema,74,"Family,Drama",12/16/2021,0,https://www.themoviedb.org/movie/911071
The Grandmother,64,Horror,01/28/2022,1h 40m,https://www.themoviedb.org/movie/661791
Chinese Zodiac,62,"Action,Adventure",01/04/2013,1h 49m,https://www.themoviedb.org/movie/98567
Halloween,65,"Horror,Thriller",10/19/2018,1h 46m,https://www.themoviedb.org/movie/424139
Studio 666,65,"Horror,Comedy,Music",02/25/2022,1h 48m,https://www.themoviedb.org/movie/895744
Chemical Hearts,75,"Drama,Romance",08/21/2020,1h 33m,https://www.themoviedb.org/movie/621013
Annabelle,57,Horror,10/03/2014,1h 39m,https://www.themoviedb.org/movie/250546
Se7en,83,"Crime,Mystery,Thriller",09/22/1995,2h 7m,https://www.themoviedb.org/movie/807
The Empire of Corpses,61,"Animation,Mystery,Horror,Science Fiction",10/02/2015,2h,https://www.themoviedb.org/movie/342588
Ballerina,72,"Animation,Adventure,Comedy,Family",02/24/2017,1h 29m,https://www.themoviedb.org/movie/342473
Insidious: Chapter 3,63,"Horror,Drama,Thriller",06/05/2015,1h 37m,https://www.themoviedb.org/movie/280092
Modest Heroes,66,"Animation,Fantasy,Adventure,Drama",08/24/2018,54m,https://www.themoviedb.org/movie/514710
In the Name of the King 2: Two Worlds,39,"Adventure,Fantasy,Drama,Action",11/03/2011,1h 36m,https://www.themoviedb.org/movie/80410
The Amityville Harvest,67,Horror,10/20/2020,1h 38m,https://www.themoviedb.org/movie/732472
Seeking Justice,59,"Action,Drama,Thriller",03/16/2012,1h 45m,https://www.themoviedb.org/movie/74998
Abominable,76,"Family,Animation,Adventure,Comedy",09/27/2019,1h 37m,https://www.themoviedb.org/movie/431580
Gladiator,82,"Action,Drama,Adventure",05/01/2000,2h 35m,https://www.themoviedb.org/movie/98
Pride & Prejudice,81,"Drama,Romance",11/11/2005,2h 7m,https://www.themoviedb.org/movie/4348
Mr. Peabody & Sherman,67,"Animation,Adventure,Family",03/06/2014,1h 32m,https://www.themoviedb.org/movie/82703
Bad Boys II,66,"Adventure,Action,Comedy,Thriller,Crime",07/18/2003,2h 27m,https://www.themoviedb.org/movie/8961
Countdown,64,"Horror,Thriller",10/25/2019,1h 30m,https://www.themoviedb.org/movie/599975
No Game No Life: Zero,79,"Animation,Action,Drama",07/15/2017,1h 46m,https://www.themoviedb.org/movie/445030
Midsommar,71,"Horror,Drama,Mystery",07/03/2019,2h 28m,https://www.themoviedb.org/movie/530385
The Babysitter: Killer Queen,65,"Comedy,Horror",09/10/2020,1h 41m,https://www.themoviedb.org/movie/623491
Bride Wars,62,"Comedy,Romance",01/09/2009,1h 29m,https://www.themoviedb.org/movie/10521
The Addams Family,67,"Family,Animation,Comedy",10/11/2019,1h 26m,https://www.themoviedb.org/movie/481084
American Pie Presents: Band Camp,55,Comedy,12/30/2005,1h 34m,https://www.themoviedb.org/movie/8274
Schindler's List,86,"Drama,History,War",06/13/1994,3h 15m,https://www.themoviedb.org/movie/424
A Day to Die,46,"Action,Thriller,Crime",03/04/2022,1h 41m,https://www.themoviedb.org/movie/864116
The Invisible Guest,81,"Drama,Mystery,Thriller",01/06/2017,1h 47m,https://www.themoviedb.org/movie/411088
Truth or Dare,60,"Thriller,Horror",04/13/2018,1h 40m,https://www.themoviedb.org/movie/460019
The Adventures of Sharkboy and Lavagirl,51,"Adventure,Family,Science Fiction",06/10/2005,1h 32m,https://www.themoviedb.org/movie/14199
Dead Heat,60,"Action,Horror,Science Fiction,Thriller",05/06/1988,1h 26m,https://www.themoviedb.org/movie/40095
Flavors of Youth,68,"Animation,Romance,Drama",08/04/2018,1h 14m,https://www.themoviedb.org/movie/513347
The Flintstones,53,"Fantasy,Comedy,Family",05/26/1994,1h 31m,https://www.themoviedb.org/movie/888
Insidious: The Last Key,62,"Horror,Mystery,Thriller",01/05/2018,1h 43m,https://www.themoviedb.org/movie/406563
Curse of the Blair Witch,63,"Horror,Thriller",07/11/1999,44m,https://www.themoviedb.org/movie/128748
Mariposa,72,"Drama,Romance",03/12/2020,1h 55m,https://www.themoviedb.org/movie/646696
Hachi: A Dog's Tale,80,"Drama,Family",03/12/2010,1h 33m,https://www.themoviedb.org/movie/28178
Matilda,71,"Comedy,Family,Fantasy",08/02/1996,1h 38m,https://www.themoviedb.org/movie/10830
Finding Dory,70,"Adventure,Animation,Comedy,Family",06/17/2016,1h 37m,https://www.themoviedb.org/movie/127380
