Name,Rating,Genre,Release Date,Runtime,Url
Free Guy,77,"Comedy,Action,Adventure,Science Fiction",09/17/2021,1h 55m,https://www.themoviedb.org/movie/550988
Mortal Kombat,72,"Action,Fantasy,Adventure",04/23/2021,1h 50m,https://www.themoviedb.org/movie/460465
Brazen,48,"Thriller,Mystery,Drama",01/13/2022,1h 34m,https://www.themoviedb.org/movie/916740
Queen of Spades,64,Horror,08/19/2021,1h 31m,https://www.themoviedb.org/movie/829358
The Simpsons in Plusaversary,66,"Animation,Comedy,Fantasy",11/12/2021,4m,https://www.themoviedb.org/movie/877183
Luca,80,"Animation,Comedy,Family,Fantasy",06/17/2021,1h 35m,https://www.themoviedb.org/movie/508943
Dune,79,"Science Fiction,Adventure",10/22/2021,2h 35m,https://www.themoviedb.org/movie/438631
Mother/Android,58,"Science Fiction,Thriller",12/17/2021,1h 51m,https://www.themoviedb.org/movie/739413
The Suicide Squad,77,"Action,Adventure,Fantasy",08/06/2021,2h 12m,https://www.themoviedb.org/movie/436969
No Time to Die,75,"Adventure,Action,Thriller",09/30/2021,2h 43m,https://www.themoviedb.org/movie/370172
Antlers,64,"Drama,Horror,Mystery",10/29/2021,1h 39m,https://www.themoviedb.org/movie/516329
PAW Patrol: The Movie,75,"Animation,Family,Adventure,Comedy",08/20/2021,1h 26m,https://www.themoviedb.org/movie/675445
The Privilege,51,Horror,02/09/2022,1h 47m,https://www.themoviedb.org/movie/926980
After We Fell,72,"Romance,Drama",09/30/2021,1h 39m,https://www.themoviedb.org/movie/744275
Finch,81,"Science Fiction,Drama,Adventure",11/04/2021,1h 55m,https://www.themoviedb.org/movie/522402
Dangerous,63,"Action,Thriller",11/05/2021,1h 39m,https://www.themoviedb.org/movie/763788
F9,73,"Action,Crime,Thriller,Adventure",06/25/2021,2h 23m,https://www.themoviedb.org/movie/385128
Zack Snyder's Justice League,83,"Action,Adventure,Fantasy,Science Fiction",03/18/2021,4h 2m,https://www.themoviedb.org/movie/791373
Gold,66,"Thriller,Action",01/13/2022,1h 37m,https://www.themoviedb.org/movie/760926
Two,54,"Thriller,Horror",07/23/2021,1h 11m,https://www.themoviedb.org/movie/811072
Deathstroke: Knights & Dragons - The Movie,69,"Animation,Action,Adventure,Science Fiction",08/04/2020,1h 27m,https://www.themoviedb.org/movie/703771
Dark Spell,67,"Romance,Horror,Thriller",02/11/2021,1h 32m,https://www.themoviedb.org/movie/633802
Cruella,82,"Comedy,Crime",05/28/2021,2h 14m,https://www.themoviedb.org/movie/337404
The Last Warrior: Root of Evil,71,"Fantasy,Adventure,Comedy",01/01/2021,2h,https://www.themoviedb.org/movie/589754
Sooryavanshi,59,"Action,Crime,Thriller",11/05/2021,2h 25m,https://www.themoviedb.org/movie/592508
Diary of a Wimpy Kid,65,"Animation,Comedy,Family",12/03/2021,58m,https://www.themoviedb.org/movie/774741
Avengers: Infinity War,83,"Adventure,Action,Science Fiction",04/27/2018,2h 29m,https://www.themoviedb.org/movie/299536
"Sex, Shame and Tears 2",20,"Comedy,Drama",02/04/2022,1h 58m,https://www.themoviedb.org/movie/930701
Black Widow,75,"Action,Adventure,Science Fiction",07/09/2021,2h 14m,https://www.themoviedb.org/movie/497698
